x,y,z,name
1,4,0,L1
1,4,1,M1
1,5,0,K3
1,5,1,K4
1,7,1,J1
1,7,0,J3
1,8,1,G4
1,8,0,H4
1,10,1,G1
1,10,0,G3
1,11,0,H1
1,11,1,H3
1,12,0,F3
1,12,1,F4
1,13,1,D1
1,13,0,E1
1,14,1,D4
1,14,0,E4
1,15,1,C3
1,15,0,D3
1,16,1,B1
1,16,0,C1
3,1,1,L4
3,1,0,M3
3,20,1,A1
3,20,0,C4
4,1,0,P2
4,1,1,P3
4,20,1,A2
4,20,0,D5
5,1,1,L5
5,1,0,M4
5,20,0,C5
5,20,1,D6
6,1,1,L6
6,1,0,P4
6,20,0,A4
6,20,1,A5
7,1,1,M6
7,1,0,P5
7,20,0,C6
7,20,1,D7
8,1,0,M7
8,1,1,P7
8,20,1,A6
8,20,0,C7
9,1,0,P8
9,1,1,P9
9,20,0,A7
9,20,1,D8
10,1,0,L7
10,1,1,M8
10,20,0,C8
10,20,1,D9
11,1,0,L8
11,1,1,M9
11,20,0,C9
11,20,1,D10
12,1,0,L9
12,1,1,P10
12,20,0,A10
12,20,1,D11
13,1,0,M11
13,1,1,P11
13,20,0,C10
13,20,1,C11
14,1,0,P12
14,1,1,P13
14,20,0,A12
14,20,1,C12
16,3,0,M12
16,3,1,P14
16,4,0,L12
16,4,1,N14
16,5,1,L14
16,6,1,K11
16,6,0,K12
16,8,1,J12
16,8,0,K14
16,9,1,H12
16,9,0,J11
16,10,1,F14
16,10,0,H11
16,11,1,G12
16,11,0,G14
16,13,1,F12
16,13,0,G11
16,14,0,E14
16,14,1,F11
16,15,1,D14
16,15,0,E12
16,16,0,C14
16,16,1,E11
16,17,0,B14
16,17,1,D12
