x,y,z,name
1,7,1,G1
1,7,0,G3
1,10,1,E3
1,10,0,F1
1,11,0,D3
1,11,1,F3
1,12,1,E1
1,12,0,E2
1,13,1,D1
1,13,0,E4
1,14,1,C3
1,14,0,D2
1,15,0,B1
1,15,1,C1
1,16,0,B2
1,16,1,C2
3,20,1,A1
4,1,0,H1
4,1,1,J2
4,20,1,B3
5,1,0,J1
5,1,1,J3
5,20,1,D5
6,20,0,A2
6,20,1,B4
7,1,0,J4
7,20,0,A3
7,20,1,E5
8,1,0,G4
8,1,1,H4
8,20,0,A4
8,20,1,C4
9,1,0,J6
9,20,0,C5
10,20,1,A6
10,20,0,B5
11,1,1,J7
11,20,0,A7
11,20,1,B6
12,1,0,G5
12,1,1,H5
12,20,0,A8
12,20,1,B7
13,1,0,G6
13,1,1,H7
13,20,0,B8
14,1,1,F7
14,1,0,G7
16,3,0,J8
16,3,1,J9
16,4,1,G9
16,4,0,H9
16,6,0,F8
16,6,1,G8
16,8,0,D6
16,8,1,E7
16,9,0,D7
16,10,1,E8
16,11,0,D8
16,13,1,B9
16,13,0,D9
16,14,0,C9
16,16,1,A9
