x,y,z,name
1,4,0,A12
1,5,0,B9
1,6,0,A11
1,7,1,A10
1,7,0,B8
1,10,1,A9
1,10,0,B7
1,11,0,A8
1,11,1,B5
1,12,0,A5
1,12,1,B4
1,13,0,A4
1,13,1,B3
1,14,0,A3
1,14,1,B2
1,15,0,A2
1,15,1,B1
1,16,0,A1
3,20,1,A48
4,20,1,B36
5,20,0,A47
5,20,1,B35
6,1,0,A13
6,20,0,A46
6,20,1,B34
7,1,0,B10
7,1,1,B11
7,20,0,A45
8,1,1,A14
8,1,0,A16
8,20,0,A44
8,20,1,B32
9,1,0,B12
9,20,0,A43
10,1,0,B13
10,20,0,A41
10,20,1,B31
11,1,1,A19
11,1,0,B14
11,20,0,A40
11,20,1,B30
12,1,1,A20
12,1,0,B15
12,20,0,A39
12,20,1,B29
13,1,1,A22
13,1,0,B17
13,20,0,A38
14,1,0,A23
14,1,1,B18
16,5,1,B19
16,6,0,A25
16,8,0,A26
16,8,1,B20
16,9,1,A27
16,9,0,B21
16,10,1,A29
16,11,0,B22
16,13,1,A31
16,13,0,B23
16,14,1,A32
16,14,0,B24
16,15,1,A33
16,16,0,A34
16,16,1,B26
16,17,0,A35
16,17,1,B27
