x,y,z,name
1,4,1,33
1,4,0,34
1,5,1,31
1,5,0,32
1,6,1,28
1,6,0,29
1,7,1,25
1,7,0,26
1,8,1,23
1,8,0,24
1,10,1,21
1,10,0,22
1,11,1,19
1,11,0,20
1,12,1,11
1,12,0,12
1,13,1,9
1,13,0,10
1,14,1,7
1,14,0,8
1,15,1,3
1,15,0,4
1,16,1,1
1,16,0,2
3,1,0,37
3,1,1,38
3,20,1,143
3,20,0,144
4,1,0,39
4,1,1,41
4,20,1,141
4,20,0,142
5,1,0,42
5,1,1,43
5,20,1,138
5,20,0,139
6,1,0,44
6,1,1,45
6,20,1,136
6,20,0,137
7,1,0,47
7,1,1,48
7,20,1,134
7,20,0,135
8,1,1,49
8,1,0,52
8,20,1,129
9,1,0,50
9,1,1,56
9,20,1,122
9,20,0,128
10,1,0,58
10,1,1,60
10,20,1,120
10,20,0,121
11,1,0,61
11,1,1,62
11,20,1,118
11,20,0,119
12,1,0,63
12,1,1,64
12,20,1,116
12,20,0,117
13,1,0,67
13,1,1,68
13,20,1,114
13,20,0,115
14,1,0,70
14,1,1,71
14,20,1,112
14,20,0,113
16,3,0,73
16,3,1,74
16,4,0,75
16,4,1,76
16,5,1,78
16,6,0,79
16,6,1,80
16,8,0,81
16,8,1,87
16,9,0,88
16,9,1,90
16,10,0,91
16,10,1,93
16,11,0,94
16,11,1,95
16,13,0,96
16,13,1,97
16,14,0,98
16,14,1,99
16,15,0,101
16,15,1,102
16,16,0,104
16,16,1,105
16,17,0,106
16,17,1,107
