x,y,z,name
1,4,1,24
1,4,0,25
1,6,1,20
1,6,0,21
1,8,1,18
1,8,0,19
1,10,1,15
1,10,0,16
1,11,1,12
1,11,0,13
1,12,1,9
1,12,0,10
1,14,1,7
1,14,0,8
1,15,1,3
1,15,0,4
1,16,1,1
1,16,0,2
3,20,1,100
4,1,0,26
4,1,1,27
4,20,1,99
5,1,0,28
5,1,1,29
5,20,1,97
6,1,0,30
6,20,1,95
6,20,0,96
7,20,1,93
7,20,0,94
8,1,1,33
8,1,0,36
8,20,1,90
8,20,0,91
9,1,0,34
9,1,1,37
9,20,0,89
10,20,1,86
10,20,0,87
11,1,1,40
11,20,1,83
11,20,0,85
12,1,0,41
12,1,1,42
12,20,1,81
12,20,0,82
13,1,0,45
13,1,1,46
13,20,1,80
14,1,0,48
14,1,1,49
14,20,1,78
14,20,0,79
16,5,1,51
16,6,0,52
16,6,1,53
16,8,0,54
16,8,1,56
16,9,0,57
16,9,1,59
16,10,0,60
16,10,1,62
16,11,0,63
16,13,0,64
16,13,1,65
16,14,0,66
16,15,0,68
16,15,1,69
16,16,0,71
16,16,1,72
16,17,0,73
16,17,1,74
