x,y,z,name
1,6,0,J2
1,6,1,K2
1,8,1,J1
1,8,0,K1
1,13,1,H1
1,13,0,H2
1,14,1,G3
1,14,0,H3
1,18,1,G1
1,18,0,G2
1,19,0,F3
1,19,1,F4
1,20,1,F1
1,20,0,F2
1,22,1,E2
1,22,0,E3
1,23,1,D2
1,23,0,D3
1,24,0,D1
1,24,1,E1
1,27,0,C1
1,27,1,C2
1,29,0,C3
1,29,1,C4
1,32,1,B1
1,32,0,B2
4,36,0,A1
5,36,1,A2
5,36,0,A3
6,1,1,J3
6,1,0,L1
6,36,0,B3
7,36,0,B4
8,1,1,L2
9,1,1,K3
10,1,0,J4
10,36,1,D5
11,36,0,A4
12,36,1,B5
13,1,1,L3
13,36,0,A5
13,36,1,A6
14,1,1,K4
14,1,0,L4
17,1,0,J5
17,1,1,K5
18,1,1,L5
18,36,1,B6
19,1,0,K6
19,36,0,B7
21,36,1,A7
22,1,1,H7
22,1,0,J7
22,36,1,A8
22,36,0,C7
23,1,1,K7
24,1,1,J8
26,1,0,L7
27,36,0,D7
28,36,1,A9
28,36,0,C8
29,36,0,B8
30,36,1,B9
31,1,1,H9
31,1,0,L8
31,36,1,C9
32,1,1,J9
32,1,0,K9
32,36,1,A10
33,1,1,K10
33,1,0,L10
33,36,1,A11
36,5,1,J11
36,6,1,H10
36,6,0,K11
36,7,1,G8
36,7,0,J10
36,8,1,G10
36,8,0,H11
36,12,1,G9
36,13,0,G11
36,16,1,F10
36,17,0,F9
36,18,1,F11
36,19,0,E10
36,21,1,E9
36,22,1,E8
36,23,0,D9
36,23,1,E11
36,25,1,D11
36,26,1,D10
36,29,1,C11
36,30,0,B11
