x,y,z,name
1,5,0,N4
1,5,1,R1
1,6,0,M5
1,6,1,P2
1,7,0,M4
1,7,1,P1
1,8,1,L5
1,8,0,N3
1,9,0,M3
1,9,1,M6
1,10,1,L7
1,10,0,N2
1,11,1,K5
1,11,0,M2
1,12,0,L3
1,12,1,L6
1,13,1,K4
1,13,0,M1
1,14,0,L1
1,14,1,L4
1,15,1,K1
1,15,0,K3
1,16,0,J1
1,16,1,J2
1,18,0,H1
1,18,1,J3
1,19,0,G1
1,19,1,J5
1,20,0,H2
1,20,1,J4
1,21,0,G2
1,21,1,H4
1,22,0,F1
1,22,1,H6
1,23,0,F2
1,23,1,H3
1,24,0,F3
1,24,1,G3
1,25,0,E2
1,25,1,H5
1,26,0,E3
1,26,1,G4
1,27,0,D1
1,27,1,G5
1,29,0,D2
1,29,1,F4
1,30,1,C1
1,30,0,C2
1,32,0,B1
1,32,1,F5
1,33,0,B2
1,33,1,E4
3,36,0,C3
3,36,1,D3
4,1,0,N6
4,1,1,T1
4,36,1,D4
4,36,0,E5
5,1,0,P4
5,1,1,R2
5,36,0,B3
5,36,1,C4
6,1,0,N5
6,1,1,T2
6,36,1,A1
6,36,0,C5
7,1,0,P5
7,1,1,R3
7,36,1,A2
7,36,0,D5
8,1,0,R5
8,1,1,T3
8,36,1,B4
9,1,1,R4
9,36,1,B5
9,36,0,E6
10,1,0,M7
10,36,0,A5
10,36,1,D6
11,1,0,N7
11,1,1,P6
11,36,0,A6
11,36,1,D7
12,1,0,M8
12,1,1,T5
12,36,1,B6
12,36,0,C6
13,1,1,R6
13,36,0,B7
13,36,1,C7
14,1,0,P8
14,1,1,T6
14,36,0,A7
15,1,0,L9
15,1,1,T7
15,36,0,B8
16,1,1,P7
16,1,0,T8
16,36,1,D8
17,1,0,N9
17,1,1,T9
18,1,0,M9
18,1,1,R9
18,36,0,B9
18,36,1,F7
19,1,0,K9
19,1,1,P9
19,36,0,C8
19,36,1,F9
20,36,1,A9
21,1,1,L10
21,1,0,R10
21,36,0,D9
21,36,1,E9
22,1,1,N10
22,1,0,P10
22,36,0,C9
22,36,1,D10
23,1,0,T10
23,1,1,T11
24,1,1,T15
24,36,1,A10
24,36,0,A11
25,1,1,M11
25,1,0,T14
25,36,1,B11
25,36,0,C10
26,1,0,T13
26,36,0,B10
26,36,1,B12
27,36,1,C11
27,36,0,D11
28,1,1,L11
28,1,0,N12
28,36,1,B13
28,36,0,E10
29,1,1,M12
29,1,0,T16
29,36,0,A15
29,36,1,A16
30,1,0,R16
30,36,1,C13
31,1,0,K11
31,1,1,P13
31,36,1,C12
31,36,0,E11
32,1,1,P11
32,1,0,P12
32,36,0,B14
32,36,1,D13
33,1,0,R11
33,1,1,R12
33,36,0,B15
33,36,1,C14
36,3,0,R14
36,3,1,R15
36,4,0,P14
36,4,1,P15
36,5,1,M13
36,5,0,P16
36,6,1,L12
36,6,0,M14
36,7,1,L13
36,7,0,N16
36,8,1,K12
36,8,0,L14
36,9,1,J10
36,9,0,M16
36,10,0,M15
36,11,1,J11
36,12,1,K13
36,12,0,L16
36,13,1,J15
36,13,0,K14
36,14,0,K15
36,15,1,J14
36,15,0,K16
36,16,1,J12
36,17,0,J13
36,17,1,J16
36,18,1,H11
36,18,0,H13
36,19,1,H14
36,19,0,H16
36,21,0,G16
36,21,1,H12
36,22,1,G10
36,22,0,G15
36,23,0,F16
36,23,1,G11
36,24,0,F15
36,24,1,G14
36,25,0,E16
36,25,1,G13
36,26,0,D16
36,26,1,G12
36,27,1,F12
36,27,0,F14
36,28,0,D15
36,28,1,F11
36,29,1,E14
36,30,0,C16
36,30,1,F13
36,32,0,B16
36,32,1,E13
36,33,0,D14
